id;Date;Global_Revenue;UACN_Revenue;EMEA_Revenue;LATM_Revenue;APAC_Revenue;UACN_Members;EMEA_Members;LATM_Members;APAC_Members;UACN_RPU;EMEA_RPU;LATM_RPU;APAC_RPU;Domestic_Members;Domestic_Revenue;International_Members;International_Revenue;Domestic_Free_Trialers;Interntaional_Free_Trialers;Netflix_Global_Users
1;31.03.2012;869791000;;;;;;;;;;;;;506665000;506665000;2409000;43425000;;;509074000
2;30.06.2012;889163000;;;;;;;;;;;;;532705000;532705000;3024000;64973000;;;535729000
3;30.09.2012;905089000;;;;;;;;;;;;;556027000;556027000;3689000;77744000;;;559716000
4;31.12.2012;945239000;;;;;;;;;;;;;589471000;589471000;4892000;101400000;;;594363000
5;31.03.2013;1023961000;;;;;;;;;;;;;638649000;638649000;6331000;142019000;;;644980000
6;30.06.2013;1069372000;;;;;;;;;;;;;671089000;671089000;7014000;165902000;;;678103000
7;30.09.2013;1105999000;;;;;;;;;;;;;701083000;701083000;8084000;183051000;;;709167000
8;31.12.2013;1175230000;;;;;;;;;;;;;740554000;740554000;9722000;221418000;;;750276000
9;31.03.2014;1270089000;;;;;;;;;;;;;798617000;798617000;11755000;267118000;;;810372000
10;30.06.2014;1340407000;;;;;;;;;;;;;838225000;838225000;12907000;307461000;;;851132000
11;30.09.2014;1409432000;;;;;;;;;;;;;877150000;877150000;14389000;345685000;;;891539000
12;31.12.2014;1484728000;;;;;;;;;;;;;917442000;917442000;16778000;387797000;;;934220000
13;31.03.2015;1573129000;;;;;;;;;;;;;984532000;984532000;19304000;415397000;;;1003836000
14;30.06.2015;1644694000;;;;;;;;;;;;;1025913000;1025913000;21649000;454763000;;;1047562000
15;30.09.2015;1738355000;;;;;;;;;;;;;1063961000;1063961000;23951000;516870000;;;1087912000
16;31.12.2015;1823333000;;;;;;;;;;;;;1105933000;1105933000;27438000;566405000;;;1133371000
17;31.03.2016;1957736000;;;;;;;;;;;;;1161241000;1161241000;31993000;651748000;1253000;2540000;1193234000
18;30.06.2016;2105204000;;;;;;;;;;;;;1208271000;1208271000;33892000;758201000;1125000;2156000;1242163000
19;30.09.2016;2290188000;;;;;;;;;;;;;1304333000;1304333000;36799000;853480000;1018000;2447000;1341132000
20;31.12.2016;2477541000;;;;;;;;;;;;;1403462000;1403462000;41185000;947666000;1526000;3180000;1444647000
21;31.03.2017;2636635000;;;;;;;;;;;;;1046199000;1046199000;44988000;1046199000;1479000;2906000;1091187000
22;30.06.2017;2785464000;;;;;;;;;;;;;1165228000;1165228000;48713000;1165228000;1598000;3318000;1213941000
23;30.09.2017;2984859000;;;;;;;;;;;;;1327435000;1327435000;52678000;1327435000;1427000;3798000;1380113000
24;31.12.2017;3285755000;;;;;;;;;;;;;1550329000;1550329000;57834000;1550329000;1940000;4998000;1608163000
25;31.03.2018;3700856000;;;;;;;;;;;;;1820019000;1820019000;63815000;1782086000;1618000;4475000;1883834000
26;30.06.2018;3907270000;;;;;;;;;;;;;1893222000;1893222000;68395000;1921144000;1420000;4367000;1961617000
27;30.09.2018;3999374000;;;;;;;;;;;;;1937314000;1937314000;73465000;1973283000;1507000;5170000;2010779000
28;31.12.2018;4186841000;;;;;;;;;;;;;1996092000;1996092000;80773000;2105592000;2065000;7131000;2076865000
29;31.03.2019;4520992000;2256851000;1233379000;630472000;319602000;66633000;42542000;27547000;12141000;11.45;10.23;7.84;9.37;;;;;;;148863000
30;30.06.2019;4923116000;2501199000;1319087000;677136000;349494000;66501000;44229000;27890000;12942000;12.52;10.13;8.14;9.29;;;;;;;151562000
31;30.09.2019;5244905000;2621250000;1428040000;741434000;382304000;67114000;47355000;29380000;14485000;13.08;10.4;8.63;9.29;;;;;;;158334000
32;31.12.2019;5467434000;2671908000;1562561000;746392000;418121000;67662000;51778000;31417000;16233000;13.22;10.51;8.18;9.07;;;;;;;167090000
33;31.03.2020;5767691000;2702776000;1723474000;793453000;483660000;69969000;58734000;34318000;19835000;13.09;10.4;8.05;8.94;;;;;;;182856000
34;30.06.2020;6148286000;2839670000;1892537000;785368000;569140000;72904000;61483000;36068000;22492000;13.25;10.5;7.44;8.96;;;;;;;192947000
35;30.09.2020;6435637000;2933445000;2019083000;789384000;634891000;73081000;62242000;36324000;23504000;13.4;10.88;7.27;9.2;;;;;;;195151000
36;31.12.2020;6644442000;2979505000;2137158000;788522000;684609000;73936000;66698000;37537000;25492000;13.51;11.05;7.12;9.32;;;;;;;203663000
37;31.03.2021;7163282000;3170972000;2343674000;836647000;762414000;74384000;68508000;37894000;26853000;14.25;11.56;7.39;9.71;;;;;;;207639000
38;30.06.2021;7341777000;3234643000;2400480000;860882000;799480000;73951000;68696000;38658000;27875000;14.54;11.66;7.5;9.74;;;;;;;209180000
39;30.09.2021;7483467000;3257697000;2432239000;915297000;834002000;74024000;70500000;38988000;30051000;14.68;11.65;7.86;9.6;;;;;;;213563000
40;31.12.2021;7709318000;3308788000;2523426000;964150000;870705000;75215000;74036000;39961000;32632000;14.78;11.64;8.14;9.26;;;;;;;221844000
41;31.03.2022;7867767000;3350424000;2561831000;998948000;916754000;74579000;73733000;39610000;33719000;14.91;11.56;8.37;9.21;;;;;;;221641000
42;30.06.2022;7970141000;3537863000;2457235000;1030234000;907719000;73283000;72966000;39624000;34799000;15.95;11.17;8.67;8.83;;;;;;;220672000
43;30.09.2022;7925589000;3601565000;2375814000;1023945000;889037000;73387000;73534000;39936000;36228000;16.37;10.81;8.58;8.34;;;;;;;223085000
44;31.12.2022;7852053000;3594791000;2350135000;1016846000;856711000;74296000;76729000;41699000;38023000;16.23;10.43;8.3;7.69;;;;;;;230747000
45;31.03.2023;8161503000;3608645000;2517641000;1070192000;933523000;74398000;77373000;41249000;39478000;16.18;10.89;8.6;8.03;;;;;;;232498000
